% MODELO - PÓRTICO 2 - Pórtico com estacas metálicas sobre base elástica
% Coordenadas dos nós
% Nó	Incremento	Coord. X	Coord. Y	Coord. Z
1       0           0               0           0
2       0           0               0           1
3       0           0               0           2
4       0           0               0           3
5       0           0               0           4
6       0           0               0           5
7       0           0               0           6
8       0           0               0           7
9       0           0               0           8
10      0           0               0           9
11      0           8               0           0
12      0           8               0           1
13      0           8               0           2
14      0           8               0           3
15      0           8               0           4
16      0           8               0           5
17      0           8               0           6
18      0           8               0           7
19      0           8               0           8
20      0           8               0           9
21      0           14              0           0
22      0           14              0           1
23      0           14              0           2
24      0           14              0           3
25      0           14              0           4
26      0           14              0           5
27      0           14              0           6
28      0           14              0           7
29      0           14              0           8
30      0           14              0           9
31      0           0.25            0           3
32      0           0.5             0           3
33      0           0.75            0           3
34      0           1               0           3
35      0           1.25            0           3
36      0           1.5             0           3
37      0           1.75            0           3
38      0           2               0           3
39      0           2.25            0           3
40      0           2.5             0           3
41      0           2.75            0           3
42      0           3               0           3
43      0           3.25            0           3
44      0           3.5             0           3
45      0           3.75            0           3
46      0           4               0           3
47      0           4.25            0           3
48      0           4.5             0           3
49      0           4.75            0           3
50      0           5               0           3
51      0           5.25            0           3
52      0           5.5             0           3
53      0           5.75            0           3
54      0           6               0           3
55      0           6.25            0           3
56      0           6.5             0           3
57      0           6.75            0           3
58      0           7               0           3
59      0           7.25            0           3
60      0           7.5             0           3
61      0           7.75            0           3
62      0           8.25            0           3
63      0           8.5             0           3
64      0           8.75            0           3
65      0           9               0           3
66      0           9.25            0           3
67      0           9.5             0           3
68      0           9.75            0           3
69      0           10              0           3
70      0           10.25           0           3
71      0           10.5            0           3
72      0           10.75           0           3
73      0           11              0           3
74      0           11.25           0           3
75      0           11.5            0           3
76      0           11.75           0           3
77      0           12              0           3
78      0           12.25           0           3
79      0           12.5            0           3
80      0           12.75           0           3
81      0           13              0           3
82      0           13.25           0           3
83      0           13.5            0           3
84      0           13.75           0           3
85      0           0.25            0           6
86      0           0.5             0           6
87      0           0.75            0           6
88      0           1               0           6
89      0           1.25            0           6
90      0           1.5             0           6
91      0           1.75            0           6
92      0           2               0           6
93      0           2.25            0           6
94      0           2.5             0           6
95      0           2.75            0           6
96      0           3               0           6
97      0           3.25            0           6
98      0           3.5             0           6
99      0           3.75            0           6
100     0           4               0           6
101     0           4.25            0           6
102     0           4.5             0           6
103     0           4.75            0           6
104     0           5               0           6
105     0           5.25            0           6
106     0           5.5             0           6
107     0           5.75            0           6
108     0           6               0           6
109     0           6.25            0           6
110     0           6.5             0           6
111     0           6.75            0           6
112     0           7               0           6
113     0           7.25            0           6
114     0           7.5             0           6
115     0           7.75            0           6
116     0           8.25            0           6
117     0           8.5             0           6
118     0           8.75            0           6
119     0           9               0           6
120     0           9.25            0           6
121     0           9.5             0           6
122     0           9.75            0           6
123     0           10              0           6
124     0           10.25           0           6
125     0           10.5            0           6
126     0           10.75           0           6
127     0           11              0           6
128     0           11.25           0           6
129     0           11.5            0           6
130     0           11.75           0           6
131     0           12              0           6
132     0           12.25           0           6
133     0           12.5            0           6
134     0           12.75           0           6
135     0           13              0           6
136     0           13.25           0           6
137     0           13.5            0           6
138     0           13.75           0           6
139     0           0.25            0           9
140     0           0.5             0           9
141     0           0.75            0           9
142     0           1               0           9
143     0           1.25            0           9
144     0           1.5             0           9
145     0           1.75            0           9
146     0           2               0           9
147     0           2.25            0           9
148     0           2.5             0           9
149     0           2.75            0           9
150     0           3               0           9
151     0           3.25            0           9
152     0           3.5             0           9
153     0           3.75            0           9
154     0           4               0           9
155     0           4.25            0           9
156     0           4.5             0           9
157     0           4.75            0           9
158     0           5               0           9
159     0           5.25            0           9
160     0           5.5             0           9
161     0           5.75            0           9
162     0           6               0           9
163     0           6.25            0           9
164     0           6.5             0           9
165     0           6.75            0           9
166     0           7               0           9
167     0           7.25            0           9
168     0           7.5             0           9
169     0           7.75            0           9
170     0           8.25            0           9
171     0           8.5             0           9
172     0           8.75            0           9
173     0           9               0           9
174     0           9.25            0           9
175     0           9.5             0           9
176     0           9.75            0           9
177     0           10              0           9
178     0           10.25           0           9
179     0           10.5            0           9
180     0           10.75           0           9
181     0           11              0           9
182     0           11.25           0           9
183     0           11.5            0           9
184     0           11.75           0           9
185     0           12              0           9
186     0           12.25           0           9
187     0           12.5            0           9
188     0           12.75           0           9
189     0           13              0           9
190     0           13.25           0           9
191     0           13.5            0           9
192     0           13.75           0           9
% Conectividade dos elementos
% Elemento	Incremento	Material	Nó inicial	Nó final    Elem. Estrutural
1           0           1           1           2           1
2           0           1           2           3           1
3           0           1           3           4           1
4           0           1           4           5           2
5           0           1           5           6           2
6           0           1           6           7           2
7           0           1           7           8           3
8           0           1           8           9           3
9           0           1           9           10          3
10          0           1           11          12          4
11          0           1           12          13          4
12          0           1           13          14          4
13          0           1           14          15          5
14          0           1           15          16          5
15          0           1           16          17          5
16          0           1           17          18          6
17          0           1           18          19          6
18          0           1           19          20          6
19          0           1           21          22          7
20          0           1           22          23          7
21          0           1           23          24          7
22          0           1           24          25          8
23          0           1           25          26          8
24          0           1           26          27          8
25          0           1           27          28          9
26          0           1           28          29          9
27          0           1           29          30          9
28          0           1           4           31          10
29          0           1           31          32          10
30          0           1           32          33          10
31          0           1           33          34          10
32          0           1           34          35          10
33          0           1           35          36          10
34          0           1           36          37          10
35          0           1           37          38          10
36          0           1           38          39          10
37          0           1           39          40          10
38          0           1           40          41          10
39          0           1           41          42          10
40          0           1           42          43          10
41          0           1           43          44          10
42          0           1           44          45          10
43          0           1           45          46          10
44          0           1           46          47          10
45          0           1           47          48          10
46          0           1           48          49          10
47          0           1           49          50          10
48          0           1           50          51          10
49          0           1           51          52          10
50          0           1           52          53          10
51          0           1           53          54          10
52          0           1           54          55          10
53          0           1           55          56          10
54          0           1           56          57          10
55          0           1           57          58          10
56          0           1           58          59          10
57          0           1           59          60          10
58          0           1           60          61          10
59          0           1           61          14          10
60          0           1           14          62          11
61          0           1           62          63          11
62          0           1           63          64          11
63          0           1           64          65          11
64          0           1           65          66          11
65          0           1           66          67          11
66          0           1           67          68          11
67          0           1           68          69          11
68          0           1           69          70          11
69          0           1           70          71          11
70          0           1           71          72          11
71          0           1           72          73          11
72          0           1           73          74          11
73          0           1           74          75          11
74          0           1           75          76          11
75          0           1           76          77          11
76          0           1           77          78          11
77          0           1           78          79          11
78          0           1           79          80          11
79          0           1           80          81          11
80          0           1           81          82          11
81          0           1           82          83          11
82          0           1           83          84          11
83          0           1           84          24          11
84          0           1           7           85          12
85          0           1           85          86          12
86          0           1           86          87          12
87          0           1           87          88          12
88          0           1           88          89          12
89          0           1           89          90          12
90          0           1           90          91          12
91          0           1           91          92          12
92          0           1           92          93          12
93          0           1           93          94          12
94          0           1           94          95          12
95          0           1           95          96          12
96          0           1           96          97          12
97          0           1           97          98          12
98          0           1           98          99          12
99          0           1           99          100         12
100         0           1           100         101         12
101         0           1           101         102         12
102         0           1           102         103         12
103         0           1           103         104         12
104         0           1           104         105         12
105         0           1           105         106         12
106         0           1           106         107         12
107         0           1           107         108         12
108         0           1           108         109         12
109         0           1           109         110         12
110         0           1           110         111         12
111         0           1           111         112         12
112         0           1           112         113         12
113         0           1           113         114         12
114         0           1           114         115         12
115         0           1           115         17          12
116         0           1           17          116         13
117         0           1           116         117         13
118         0           1           117         118         13
119         0           1           118         119         13
120         0           1           119         120         13
121         0           1           120         121         13
122         0           1           121         122         13
123         0           1           122         123         13
124         0           1           123         124         13
125         0           1           124         125         13
126         0           1           125         126         13
127         0           1           126         127         13
128         0           1           127         128         13
129         0           1           128         129         13
130         0           1           129         130         13
131         0           1           130         131         13
132         0           1           131         132         13
133         0           1           132         133         13
134         0           1           133         134         13
135         0           1           134         135         13
136         0           1           135         136         13
137         0           1           136         137     	13
138         0           1           137         138         13
139         0           1           138         27          13
140         0           1           10          139     	14
141         0           1           139         140         14
142         0           1           140         141         14
143         0           1           141     	142         14
144         0           1           142         143     	14
145         0           1           143         144         14
146         0           1           144         145         14
147         0           1           145         146         14
148         0           1           146         147         14
149         0           1           147         148         14
150         0           1           148         149         14
151         0           1           149         150         14
152         0           1           150         151         14
153         0           1           151         152         14
154         0           1           152         153         14
155         0           1           153         154         14
156         0           1           154         155         14
157         0           1           155         156         14
158         0           1           156         157         14
159         0           1           157         158         14
160         0           1           158         159         14
161         0           1           159         160         14
162         0           1           160         161         14
163     	0           1           161         162         14
164         0           1           162         163         14
165         0           1           163         164         14
166         0           1           164         165         14
167         0           1           165         166         14
168         0           1           166         167     	14
169         0           1           167         168         14
170         0           1           168         169         14
171         0           1           169     	20          14
172         0           1           20          170         15
173         0           1           170         171         15
174         0           1           171         172         15
175         0           1           172         173         15
176         0           1           173         174         15
177         0           1           174         175         15
178         0           1           175         176         15
179         0           1           176         177         15
180         0           1           177         178         15
181         0           1           178         179         15
182         0           1           179         180         15
183         0           1           180         181         15
184         0           1           181     	182         15
185         0           1           182     	183         15
186         0           1           183         184         15
187         0           1           184         185         15
188         0           1           185     	186         15
189         0           1           186     	187         15
190         0           1           187     	188         15
191         0           1           188         189         15
192         0           1           189         190         15
193         0           1           190         191         15
194         0           1           191         192         15
195         0           1           192         30          15
% Condições de contorno dos nós
% Nó	Incremento	Desl. X		Desl. Y		Desl. Z		Rot. x		Rot. y		Rot. Z	
1       0           1   		1   		1   		1   		1   		1
11      0           1   		1   		1   		1   		1   		1
21      0           1   		1   		1   		1   		1   		1
% Constante de mola nos nós
% Nó    	Trans.Y     Tipo Dist.      Par.Estatístico 1   Par.Estatístico 2
2          	0        	1           	0                 	0
% Cargas aplicadas à cada grau de liberdade
% Dir	Carga	Tipo Dist	Par. Estatístico 1	Par. Estatístico 2
2       0       1           0.0     			0.0
% Cargas distribuídas
% Elemento	qx      qy      TipoDist	Par. Estatístico 1	Par. Estatístico 2
28          0       -44.16	1           0                   0
29          0       -44.16	1           0                   0
30          0       -44.16	1           0                   0
31          0       -44.16	1           0                   0
32          0       -44.16	1           0                   0
33          0       -44.16	1           0                   0
34          0       -44.16	1           0                   0
35          0       -44.16	1           0                   0
36          0       -44.16	1           0                   0
37          0       -44.16	1           0                   0
38          0       -44.16	1           0                   0
39          0       -44.16	1           0                   0
40          0       -44.16	1           0                   0
41          0       -44.16	1           0                   0
42          0       -44.16	1           0                   0
43          0       -44.16	1           0                   0
44          0       -44.16	1           0                   0
45          0       -44.16	1           0                   0
46          0       -44.16	1           0                   0
47          0       -44.16	1           0                   0
48          0       -44.16	1           0                   0
49          0       -44.16	1           0                   0
50          0       -44.16	1           0                   0
51          0       -44.16	1           0                   0
52          0       -44.16	1           0                   0
53          0       -44.16	1           0                   0
54          0       -44.16	1           0                   0
55          0       -44.16  1           0                   0
56          0       -44.16	1           0                   0
57          0       -44.16	1           0                   0
58          0       -44.16	1           0                   0
59          0       -44.16	1           0                   0
60          0       -37.85	1           0                   0
61          0       -37.85	1           0                   0
62          0       -37.85	1           0                   0
63          0       -37.85	1           0                   0
64          0       -37.85	1           0                   0
65          0       -37.85	1           0                   0
66          0       -37.85	1           0                   0
67          0       -37.85	1           0                   0
68          0       -37.85	1           0                   0
69          0       -37.85	1           0                   0
70          0       -37.85	1           0                   0
71          0       -37.85	1           0                   0
72          0       -37.85	1           0                   0
73          0       -37.85	1           0                   0
74          0       -37.85	1           0                   0
75          0       -37.85	1           0                   0
76          0       -37.85	1           0                   0
77          0       -37.85	1           0                   0
78          0       -37.85	1           0                   0
79          0       -37.85	1           0                   0
80          0       -37.85	1           0                   0
81          0       -37.85	1           0                   0
82          0       -37.85	1           0                   0
83          0       -37.85	1           0                   0
84          0       -44.16	1           0                   0
85          0       -44.16	1           0                   0
86          0       -44.16	1           0                   0
87          0       -44.16	1           0                   0
88          0       -44.16	1           0                   0
89          0       -44.16	1           0                   0
90          0       -44.16	1           0                   0
91          0       -44.16	1           0                   0
92          0       -44.16	1           0                   0
93          0       -44.16	1           0                   0
94          0       -44.16	1           0                   0
95          0       -44.16	1           0                   0
96          0       -44.16	1           0                   0
97          0       -44.16	1           0                   0
98          0       -44.16	1           0                   0
99          0       -44.16	1           0                   0
100         0       -44.16	1           0                   0
101         0       -44.16	1           0                   0
102         0       -44.16	1           0                   0
103         0       -44.16	1           0                   0
104         0       -44.16	1           0                   0
105         0       -44.16	1           0                   0
106         0       -44.16	1           0                   0
107         0       -44.16	1           0                   0
108         0       -44.16	1           0                   0
109         0       -44.16	1           0                   0
110         0       -44.16	1           0                   0
111         0       -44.16	1           0                   0
112         0       -44.16	1           0                   0
113         0       -44.16	1           0                   0
114         0       -44.16	1           0                   0
115         0       -44.16	1           0                   0
116         0       -37.85	1           0                   0
117         0       -37.85	1           0                   0
118         0       -37.85	1           0                   0
119         0       -37.85	1           0                   0
120         0       -37.85	1           0                   0
121         0       -37.85	1           0                   0
122         0       -37.85	1           0                   0
123     	0       -37.85	1           0                   0
124         0       -37.85	1           0                   0
125         0       -37.85	1           0                   0
126         0       -37.85	1           0                   0
127         0       -37.85	1           0                   0
128     	0       -37.85	1           0                   0
129     	0       -37.85	1           0                   0
130         0       -37.85	1           0                   0
131         0       -37.85	1           0                   0
132         0       -37.85	1           0                   0
133         0       -37.85	1           0                   0
134         0       -37.85	1           0                   0
135         0       -37.85	1           0                   0
136         0       -37.85	1           0                   0
137         0       -37.85	1           0                   0
138         0       -37.85	1           0                   0
139         0       -37.85	1           0                   0
140         0       -26.63	1           0                   0
141         0       -26.63	1           0                   0
142         0       -26.63	1           0                   0
143         0       -26.63	1           0                   0
144     	0       -26.63	1           0                   0
145     	0       -26.63	1           0                   0
146     	0       -26.63	1           0                   0
147         0       -26.63	1           0                   0
148         0       -26.63	1           0                   0
149     	0       -26.63	1           0                   0
150     	0       -26.63	1           0                   0
151         0       -26.63	1           0                   0
152         0       -26.63	1           0                   0
153         0       -26.63	1           0                   0
154         0       -26.63	1           0                   0
155         0       -26.63	1           0                   0
156         0       -26.63	1           0                   0
157     	0       -26.63	1           0                   0
158         0       -26.63	1           0                   0
159     	0       -26.63	1           0                   0
160     	0       -26.63	1           0                   0
161     	0       -26.63	1           0                   0
162         0       -26.63	1           0                   0
163         0       -26.63	1           0                   0
164         0       -26.63	1           0                   0
165         0       -26.63	1           0                   0
166         0       -26.63	1           0                   0
167         0       -26.63	1           0                   0
168         0       -26.63	1           0                   0
169     	0       -26.63	1           0                   0
170     	0       -26.63	1           0                   0
171     	0       -26.63	1           0                   0
172     	0       -22.82	1           0                   0
173         0       -22.82	1           0                   0
174         0       -22.82	1           0                   0
175         0       -22.82	1           0                   0
176         0       -22.82	1           0                   0
177         0       -22.82	1           0                   0
178         0       -22.82	1           0                   0
179         0       -22.82	1           0                   0
180         0       -22.82	1           0                   0
181     	0       -22.82	1           0                   0
182     	0       -22.82	1           0                   0
183     	0       -22.82	1           0                   0
184         0       -22.82	1           0                   0
185         0       -22.82	1           0                   0
186         0       -22.82	1           0                   0
187         0       -22.82	1           0                   0
188         0       -22.82	1           0                   0
189         0       -22.82  1           0                   0
190         0       -22.82	1           0                   0
191         0       -22.82	1           0                   0
192         0       -22.82	1           0                   0
193         0       -22.82	1           0                   0
194         0       -22.82	1           0                   0
195         0       -22.82  1           0                   0
% Cargas concentradas nas barras
% Elementos	fx  Dist. x nó inicial	fy	Dist. y nó inicial	TipoDist	Par. Estatístico 1	Par. Estatístico 2
2   		0   1                    0	 1                  1           0.0                 0.0
% Variação uniforme de temperatura nos elementos
% Elementos	Tmax    Tmin  	TipoDist	Par. Estatístico 1	Par. Estatístico 2
1   		10      -15     1           0.0                 0.0
% Seção transversal e propriedades físicas/geométricas dos elementos
% Elemento  base  altura  DesvPdBase  DesvPadAltura  QntElemeDiscret   
1           0.3     0.5     0.00210     0.00700      1
2           0.3     0.5     0.00210     0.00700      1
3           0.3     0.5     0.00210     0.00700      1
4           0.3     0.5     0.00210     0.00700      1
5           0.3     0.5     0.00210     0.00700      1
6           0.3     0.5     0.00210     0.00700      1
7           0.3     0.5     0.00210     0.00700      1
8           0.3     0.5     0.00210     0.00700      1
9           0.3     0.5     0.00210     0.00700      1
10          0.3     0.4     0.00210     0.00560      1
11          0.3     0.4     0.00210     0.00560      1
12          0.3     0.4     0.00210     0.00560      1
13          0.3     0.4     0.00210     0.00560      1
14          0.3     0.4     0.00210     0.00560      1
15          0.3     0.4     0.00210     0.00560      1
16          0.3     0.4     0.00210     0.00560      1
17          0.3     0.4     0.00210     0.00560      1
18          0.3     0.4     0.00210     0.00560      1
19          0.3     0.5     0.00210     0.00700      1
20          0.3     0.5     0.00210     0.00700      1
21          0.3     0.5     0.00210     0.00700      1
22          0.3     0.5     0.00210     0.00700      1
23          0.3     0.5     0.00210     0.00700      1
24          0.3     0.5     0.00210     0.00700      1
25          0.3     0.5     0.00210     0.00700      1
26          0.3     0.5     0.00210     0.00700      1
27          0.3     0.5     0.00210     0.00700      1
28          0.3     0.7     0.00750     0.01750      1
29          0.3     0.7     0.00750     0.01750      1
30          0.3     0.7     0.00750     0.01750      1
31          0.3     0.7     0.00750     0.01750      1
32          0.3     0.7     0.00750     0.01750      1
33          0.3     0.7     0.00750     0.01750      1
34          0.3     0.7     0.00750     0.01750      1
35          0.3     0.7     0.00750     0.01750      1
36          0.3     0.7     0.00750     0.01750      1
37          0.3     0.7     0.00750     0.01750      1
38          0.3     0.7     0.00750     0.01750      1
39          0.3     0.7     0.00750     0.01750      1
40          0.3     0.7     0.00750     0.01750      1
41          0.3     0.7     0.00750     0.01750      1
42          0.3     0.7     0.00750     0.01750      1
43          0.3     0.7     0.00750     0.01750      1
44          0.3     0.7     0.00750     0.01750      1
45          0.3     0.7     0.00750     0.01750      1
46          0.3     0.7     0.00750     0.01750      1
47          0.3     0.7     0.00750     0.01750      1
48          0.3     0.7     0.00750     0.01750      1
49          0.3     0.7     0.00750     0.01750      1
50          0.3     0.7     0.00750     0.01750      1
51          0.3     0.7     0.00750     0.01750      1
52          0.3     0.7     0.00750     0.01750      1
53          0.3     0.7 	0.00750     0.01750      1
54          0.3     0.7     0.00750     0.01750      1
55          0.3     0.7     0.00750     0.01750      1
56          0.3     0.7     0.00750     0.01750      1
57          0.3     0.7     0.00750     0.01750      1
58          0.3     0.7     0.00750     0.01750      1
59          0.3     0.7     0.00750     0.01750      1
60          0.3     0.7     0.00750     0.01750      1
61          0.3     0.7     0.00750     0.01750      1
62          0.3     0.7     0.00750     0.01750      1
63          0.3     0.7     0.00750     0.01750      1
64          0.3     0.7     0.00750     0.01750      1
65          0.3     0.7     0.00750     0.01750      1
66          0.3     0.7     0.00750     0.01750      1
67          0.3     0.7     0.00750     0.01750      1
68          0.3     0.7     0.00750     0.01750      1
69          0.3     0.7     0.00750     0.01750      1
70          0.3     0.7     0.00750     0.01750      1
71          0.3     0.7     0.00750     0.01750      1
72          0.3     0.7     0.00750     0.01750      1
73          0.3     0.7     0.00750     0.01750      1
74          0.3     0.7     0.00750     0.01750      1
75          0.3     0.7     0.00750     0.01750      1
76          0.3     0.7     0.00750     0.01750      1
77          0.3     0.7     0.00750     0.01750      1
78          0.3     0.7     0.00750     0.01750      1
79          0.3     0.7     0.00750     0.01750      1
80          0.3     0.7     0.00750     0.01750      1
81          0.3     0.7     0.00750     0.01750      1
82          0.3     0.7     0.00750     0.01750      1
83          0.3     0.7     0.00750     0.01750      1
84          0.3     0.7     0.00750     0.01750      1
85          0.3     0.7     0.00750     0.01750      1
86          0.3     0.7     0.00750     0.01750      1
87          0.3     0.7     0.00750     0.01750      1
88          0.3     0.7     0.00750     0.01750      1
89          0.3     0.7     0.00750     0.01750      1
90          0.3     0.7     0.00750     0.01750      1
91          0.3     0.7     0.00750     0.01750      1
92          0.3     0.7     0.00750     0.01750      1
93          0.3     0.7     0.00750     0.01750      1
94          0.3     0.7     0.00750     0.01750      1
95          0.3     0.7     0.00750     0.01750      1
96          0.3     0.7     0.00750     0.01750      1
97          0.3     0.7     0.00750     0.01750      1
98          0.3     0.7     0.00750     0.01750      1
99          0.3     0.7     0.00750     0.01750      1
100         0.3     0.7     0.00750     0.01750      1
101         0.3     0.7     0.00750     0.01750      1
102         0.3     0.7     0.00750     0.01750      1
103         0.3     0.7     0.00750     0.01750      1
104         0.3     0.7     0.00750     0.01750      1
105         0.3     0.7     0.00750     0.01750      1
106         0.3     0.7     0.00750     0.01750      1
107         0.3     0.7     0.00750     0.01750      1
108         0.3     0.7     0.00750     0.01750      1
109         0.3     0.7     0.00750     0.01750      1
110         0.3     0.7     0.00750     0.01750      1
111         0.3     0.7     0.00750     0.01750      1
112         0.3     0.7     0.00750     0.01750      1
113         0.3     0.7     0.00750     0.01750      1
114         0.3     0.7     0.00750     0.01750      1
115         0.3     0.7     0.00750     0.01750      1
116         0.3     0.7     0.00750     0.01750      1
117         0.3     0.7     0.00750     0.01750      1
118         0.3     0.7     0.00750     0.01750      1
119         0.3     0.7     0.00750     0.01750      1
120         0.3     0.7     0.00750     0.01750      1
121         0.3     0.7     0.00750     0.01750      1
122         0.3     0.7     0.00750     0.01750      1
123         0.3 	0.7     0.00750     0.01750      1
124         0.3     0.7     0.00750     0.01750      1
125         0.3     0.7     0.00750     0.01750      1
126         0.3     0.7     0.00750     0.01750      1
127         0.3     0.7     0.00750     0.01750      1
128         0.3     0.7     0.00750     0.01750      1
129         0.3     0.7     0.00750     0.01750      1
130         0.3     0.7     0.00750     0.01750      1
131         0.3     0.7     0.00750     0.01750      1
132         0.3     0.7     0.00750     0.01750      1
133         0.3     0.7     0.00750     0.01750      1
134         0.3     0.7     0.00750     0.01750      1
135         0.3     0.7     0.00750     0.01750      1
136         0.3     0.7     0.00750     0.01750      1
137         0.3     0.7     0.00750     0.01750      1
138         0.3     0.7     0.00750     0.01750      1
139         0.3     0.7     0.00750     0.01750      1
140         0.3     0.7     0.00750     0.01750      1
